"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2015","282.4","255.9","301.9","252.9","80.09K","10.38%"
"Nov 01, 2015","357.9","282.4","455.0","272.5","140.24K","26.74%"
"Nov 08, 2015","309.6","357.9","360.3","277.1","85.93K","-13.49%"
"Nov 15, 2015","305.8","309.6","319.6","291.5","58.54K","-1.25%"
"Nov 22, 2015","337.1","305.8","346.6","297.5","69.64K","10.25%"
"Nov 29, 2015","352.7","337.1","362.3","326.6","80.33K","4.64%"
"Dec 06, 2015","393.9","352.7","421.1","351.5","97.96K","11.67%"
"Dec 13, 2015","424.8","393.9","428.5","380.7","70.72K","7.83%"
"Dec 20, 2015","381.7","424.8","424.6","371.4","81.21K","-10.13%"
"Dec 27, 2015","399.8","381.7","402.8","374.5","55.74K","4.74%"
"Jan 03, 2016","412.2","399.8","426.0","390.0","66.72K","3.09%"
"Jan 10, 2016","356.1","412.2","415.7","322.9","82.86K","-13.60%"
"Jan 17, 2016","359.8","356.1","391.6","344.3","87.59K","1.02%"
"Jan 24, 2016","349.3","359.8","376.6","334.0","72.38K","-2.92%"
"Jan 31, 2016","336.6","349.3","351.9","329.9","66.66K","-3.61%"
"Feb 07, 2016","344.5","336.6","347.3","328.4","72.00K","2.33%"
"Feb 14, 2016","395.0","344.5","397.9","342.5","80.67K","14.65%"
"Feb 21, 2016","394.0","395.0","400.6","373.4","79.68K","-0.25%"
"Feb 28, 2016","360.2","394.0","401.9","353.4","83.51K","-8.58%"
"Mar 06, 2016","367.4","360.2","381.5","355.2","89.95K","2.00%"
"Mar 13, 2016","364.5","367.4","377.0","359.0","71.11K","-0.78%"
"Mar 20, 2016","374.1","364.5","375.4","362.0","56.07K","2.65%"
"Mar 27, 2016","370.0","374.1","384.9","362.5","62.79K","-1.11%"
"Apr 03, 2016","368.4","370.0","374.2","363.7","58.60K","-0.42%"
"Apr 10, 2016","382.2","368.4","384.8","367.3","60.50K","3.75%"
"Apr 17, 2016","400.9","382.2","402.5","376.3","58.20K","4.90%"
"Apr 24, 2016","391.2","400.9","416.5","384.8","67.94K","-2.43%"
"May 01, 2016","403.0","391.2","406.0","382.3","55.88K","3.04%"
"May 08, 2016","403.3","403.0","408.3","393.7","54.49K","0.07%"
"May 15, 2016","395.6","403.3","406.5","388.6","44.21K","-1.92%"
"May 22, 2016","471.1","395.6","483.9","388.2","64.72K","19.08%"
"May 29, 2016","504.9","471.1","520.6","452.0","77.76K","7.17%"
"Jun 05, 2016","529.2","504.9","531.1","491.3","55.99K","4.82%"
"Jun 12, 2016","672.9","529.2","695.3","528.0","134.22K","27.16%"
"Jun 19, 2016","608.1","672.9","683.5","490.1","151.20K","-9.63%"
