"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 23, 2012","23.205","24.060","24.105","23.040","51.39K","-3.61%"
"Sep 30, 2012","22.944","23.040","23.290","22.795","58.31K","-1.12%"
"Oct 07, 2012","22.375","23.020","23.115","22.140","65.30K","-2.48%"
"Oct 14, 2012","22.065","22.610","22.855","21.910","87.04K","-1.39%"
"Oct 21, 2012","21.730","22.050","22.205","21.205","237.05K","-1.52%"
"Oct 28, 2012","23.075","21.820","23.230","21.810","160.93K","6.19%"
"Nov 04, 2012","22.765","23.100","23.380","22.590","81.95K","-1.34%"
"Nov 11, 2012","20.840","22.750","22.875","20.780","134.18K","-8.46%"
"Nov 18, 2012","21.305","20.810","21.410","20.700","99.39K","2.23%"
"Nov 25, 2012","20.545","21.370","21.370","20.460","94.44K","-3.57%"
"Dec 02, 2012","20.530","20.490","20.850","20.100","87.39K","-0.07%"
"Dec 09, 2012","20.500","20.575","21.165","20.405","89.11K","-0.15%"
"Dec 16, 2012","20.745","20.480","20.850","20.310","61.95K","1.20%"
"Dec 23, 2012","20.380","20.380","20.465","20.200","21.18K","-1.76%"
"Dec 30, 2012","20.685","20.290","21.150","20.205","58.47K","1.50%"
"Jan 06, 2013","19.935","20.510","20.650","19.645","190.53K","-3.63%"
"Jan 13, 2013","20.390","20.190","20.500","20.070","103.64K","2.28%"
"Jan 20, 2013","20.825","20.550","21.040","20.220","191.53K","2.13%"
"Jan 27, 2013","20.340","20.790","20.950","20.210","158.02K","-2.33%"
"Feb 03, 2013","20.600","20.550","20.690","20.110","72.09K","1.28%"
"Feb 10, 2013","20.935","20.670","21.095","20.600","61.99K","1.63%"
"Feb 17, 2013","20.970","21.045","21.255","20.740","73.10K","0.17%"
"Feb 24, 2013","21.365","21.020","21.500","20.820","68.37K","1.88%"
"Mar 03, 2013","21.745","21.410","21.915","21.315","85.01K","1.78%"
"Mar 10, 2013","21.540","21.570","21.750","21.240","53.85K","-0.94%"
"Mar 17, 2013","21.710","21.500","21.985","21.385","68.68K","0.79%"
"Mar 24, 2013","22.170","21.805","22.285","21.745","50.13K","2.12%"
"Mar 31, 2013","21.730","22.330","22.595","21.655","59.91K","-1.98%"
"Apr 07, 2013","21.930","22.030","23.150","21.860","143.47K","0.92%"
"Apr 14, 2013","22.715","21.900","23.000","21.765","120.14K","3.58%"
"Apr 21, 2013","24.210","22.950","25.250","22.850","154.03K","6.58%"
"Apr 28, 2013","25.540","24.250","25.595","24.220","138.64K","5.49%"
"May 05, 2013","25.205","25.420","25.880","24.770","114.79K","-1.31%"
"May 12, 2013","26.640","25.060","26.780","25.030","102.92K","5.69%"
"May 19, 2013","26.400","26.950","27.425","26.130","132.23K","-0.90%"
"May 26, 2013","27.065","26.360","27.200","26.345","48.38K","2.52%"
"Jun 02, 2013","26.835","26.720","27.300","26.195","101.25K","-0.85%"
"Jun 09, 2013","25.700","26.970","27.075","25.655","136.54K","-4.23%"
"Jun 16, 2013","25.245","25.850","26.320","25.060","74.32K","-1.77%"
"Jun 23, 2013","26.545","25.160","26.690","24.855","95.82K","5.15%"
"Jun 30, 2013","26.305","26.550","26.830","25.870","50.97K","-0.90%"
"Jul 07, 2013","27.090","26.690","27.420","26.560","46.61K","2.98%"
"Jul 14, 2013","24.270","27.260","27.750","24.175","163.29K","-10.41%"
"Jul 21, 2013","23.645","24.050","24.400","23.565","243.46K","-2.58%"
"Jul 28, 2013","23.920","23.730","24.325","23.600","66.54K","1.16%"
"Aug 04, 2013","24.470","23.855","24.670","23.425","77.38K","2.30%"
"Aug 11, 2013","23.915","24.470","24.750","23.640","59.68K","-2.27%"
"Aug 18, 2013","25.550","23.960","26.510","23.305","130.96K","6.84%"
"Aug 25, 2013","25.115","26.020","26.040","24.720","163.80K","-1.70%"
"Sep 01, 2013","23.805","25.350","26.080","23.525","277.72K","-5.22%"
"Sep 08, 2013","24.615","23.800","24.875","23.620","108.28K","3.40%"
"Sep 15, 2013","24.345","24.880","25.750","24.200","177.42K","-1.10%"
"Sep 22, 2013","24.820","24.390","24.820","23.880","71.28K","1.95%"
"Sep 29, 2013","24.800","24.560","24.980","24.170","79.01K","-0.08%"
"Oct 06, 2013","24.975","24.730","25.000","24.210","53.44K","0.71%"
"Oct 13, 2013","25.345","24.860","25.935","24.860","96.42K","1.48%"
"Oct 20, 2013","25.950","25.710","26.270","24.355","178.22K","2.39%"
"Oct 27, 2013","26.310","26.050","26.420","25.585","94.44K","1.39%"
"Nov 03, 2013","28.175","26.225","28.570","26.225","215.05K","7.09%"
"Nov 10, 2013","28.085","28.260","28.430","27.410","91.91K","-0.32%"
"Nov 17, 2013","27.715","28.120","28.230","27.010","118.38K","-1.32%"
"Nov 24, 2013","28.140","27.885","28.140","27.500","56.71K","1.53%"
"Dec 01, 2013","27.905","28.135","28.720","27.330","122.89K","-0.84%"
"Dec 08, 2013","26.880","28.030","28.260","26.445","171.65K","-3.67%"
"Dec 15, 2013","26.850","26.600","26.910","26.115","83.36K","-0.11%"
"Dec 22, 2013","27.050","27.090","27.255","26.660","41.83K","0.74%"
"Dec 29, 2013","27.000","27.200","27.415","26.955","42.75K","-0.18%"
"Jan 05, 2014","26.340","27.295","27.295","26.060","133.77K","-2.44%"
"Jan 12, 2014","26.805","26.495","27.245","25.250","195.08K","1.77%"
"Jan 19, 2014","26.750","26.940","27.395","26.020","151.74K","-0.21%"
"Jan 26, 2014","27.410","26.820","27.745","26.250","188.05K","2.47%"
"Feb 02, 2014","26.590","28.000","28.150","26.245","170.20K","-2.99%"
"Feb 09, 2014","27.505","26.830","27.680","26.605","85.26K","3.44%"
"Feb 16, 2014","27.890","27.650","27.900","27.095","40.85K","1.40%"
"Feb 23, 2014","27.840","27.630","27.840","27.175","49.11K","-0.18%"
"Mar 02, 2014","27.250","27.720","28.000","27.215","57.43K","-2.12%"
"Mar 09, 2014","27.180","27.290","27.530","27.100","33.31K","-0.26%"
"Mar 16, 2014","29.240","27.200","29.620","27.200","71.05K","7.58%"
"Mar 23, 2014","29.450","29.475","29.675","28.685","70.42K","0.72%"
"Mar 30, 2014","29.390","29.450","30.200","29.220","98.78K","-0.20%"
"Apr 06, 2014","28.570","29.080","29.330","28.105","73.40K","-2.79%"
"Apr 13, 2014","28.740","28.030","29.190","28.005","41.53K","0.60%"
"Apr 20, 2014","29.010","29.060","29.490","28.420","44.98K","0.94%"
"Apr 27, 2014","28.840","28.980","29.785","28.725","23.31K","-0.59%"
"May 04, 2014","28.820","28.770","28.995","27.580","45.52K","-0.07%"
"May 11, 2014","28.895","28.800","29.700","28.650","30.01K","0.26%"
"May 18, 2014","29.440","28.920","29.605","28.800","18.60K","1.89%"
"May 25, 2014","29.890","29.385","30.000","29.245","31.14K","1.53%"
"Jun 01, 2014","30.380","29.960","30.500","29.295","55.25K","1.64%"
"Jun 08, 2014","30.555","30.350","30.660","29.875","28.90K","0.58%"
"Jun 15, 2014","30.740","30.450","30.880","30.100","25.59K","0.61%"
"Jun 22, 2014","30.570","30.925","30.990","30.425","27.56K","-0.55%"
"Jun 29, 2014","30.790","31.000","31.000","30.425","29.06K","0.72%"
"Jul 06, 2014","30.755","30.740","30.995","30.160","26.26K","-0.11%"
"Jul 13, 2014","32.835","30.900","33.800","30.880","94.97K","6.76%"
"Jul 20, 2014","33.085","33.070","34.110","32.755","76.72K","0.76%"
"Jul 27, 2014","32.100","33.050","33.195","31.560","157.51K","-2.98%"
"Aug 03, 2014","32.080","32.000","32.500","31.670","94.43K","-0.06%"
"Aug 10, 2014","33.265","32.310","33.535","32.050","35.81K","3.69%"
"Aug 17, 2014","34.250","33.550","34.250","33.460","37.22K","2.96%"
"Aug 24, 2014","34.310","34.390","34.440","33.700","48.69K","0.18%"
"Aug 31, 2014","35.020","34.505","35.020","33.925","58.05K","2.07%"
"Sep 07, 2014","36.135","35.600","36.580","35.500","72.68K","3.18%"
"Sep 14, 2014","36.510","35.990","36.815","35.540","45.67K","1.04%"
"Sep 21, 2014","36.420","36.900","37.170","35.885","37.30K","-0.25%"
"Sep 28, 2014","36.210","36.390","37.090","36.000","56.90K","-0.58%"
"Oct 05, 2014","35.780","36.905","36.965","35.580","111.72K","-1.19%"
"Oct 12, 2014","34.310","34.425","35.035","32.845","185.25K","-4.11%"
"Oct 19, 2014","36.055","34.410","37.485","33.645","104.42K","5.09%"
"Oct 26, 2014","37.330","36.550","37.565","35.995","78.85K","3.54%"
"Nov 02, 2014","38.975","37.595","39.545","37.405","80.36K","4.41%"
"Nov 09, 2014","39.980","39.000","40.250","38.920","106.47K","2.58%"
"Nov 16, 2014","39.010","39.460","39.690","38.120","214.47K","-2.43%"
"Nov 23, 2014","38.710","38.790","38.790","37.790","93.30K","-0.77%"
"Nov 30, 2014","39.550","38.400","39.890","38.005","69.25K","2.17%"
"Dec 07, 2014","37.865","39.470","39.520","37.405","71.61K","-4.26%"
"Dec 14, 2014","39.100","37.790","39.100","36.050","159.34K","3.26%"
"Dec 21, 2014","40.010","38.990","40.010","38.950","42.23K","2.33%"
"Dec 28, 2014","38.865","39.445","39.545","38.540","31.65K","-2.86%"
"Jan 04, 2015","39.710","38.965","40.690","38.540","75.69K","2.17%"
"Jan 11, 2015","39.730","39.980","40.920","38.675","139.75K","0.05%"
"Jan 18, 2015","41.700","40.125","42.595","39.000","157.39K","4.96%"
"Jan 25, 2015","36.310","42.060","42.255","36.040","539.91K","-12.93%"
"Feb 01, 2015","37.535","35.980","37.660","35.470","288.97K","3.37%"
"Feb 08, 2015","38.010","37.210","38.045","37.170","157.85K","1.27%"
"Feb 15, 2015","38.400","38.450","38.660","37.825","116.72K","1.03%"
"Feb 22, 2015","39.000","38.620","39.440","38.450","126.56K","1.56%"
"Mar 01, 2015","39.105","39.200","39.630","38.505","90.52K","0.27%"
"Mar 08, 2015","38.940","38.950","40.075","38.290","154.55K","-0.42%"
"Mar 15, 2015","39.620","39.280","40.025","38.705","170.63K","1.75%"
"Mar 22, 2015","37.595","39.660","39.845","37.060","277.73K","-5.11%"
"Mar 29, 2015","37.165","37.840","38.250","37.050","179.38K","-1.14%"
"Apr 05, 2015","39.470","38.020","39.480","37.990","171.33K","6.20%"
"Apr 12, 2015","38.275","39.370","39.790","38.275","167.80K","-3.03%"
"Apr 19, 2015","43.210","38.640","43.210","38.615","341.18K","12.89%"
"Apr 26, 2015","43.915","43.950","44.715","43.130","324.93K","1.63%"
"May 03, 2015","42.405","43.400","43.755","39.870","273.81K","-3.44%"
"May 10, 2015","42.575","42.790","43.125","41.255","90.73K","0.40%"
"May 17, 2015","42.600","42.200","43.000","41.970","80.16K","0.06%"
"May 24, 2015","42.590","42.950","44.110","42.475","119.21K","-0.02%"
