"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 02, 2011","74.46","73.01","75.35","70.99","11.00K","0.69%"
"Oct 09, 2011","75.82","74.74","76.73","74.56","18.40K","1.83%"
"Oct 16, 2011","77.11","76.94","77.03","75.60","5.06K","1.70%"
"Oct 23, 2011","78.55","77.54","78.44","76.68","19.22K","1.87%"
"Oct 30, 2011","78.48","78.62","78.79","77.22","11.37K","-0.09%"
"Nov 06, 2011","79.64","78.48","79.86","78.48","17.28K","1.48%"
"Nov 13, 2011","78.29","80.02","80.15","78.17","7.20K","-1.70%"
"Nov 20, 2011","76.68","77.16","77.16","75.28","3.70K","-2.06%"
"Nov 27, 2011","81.31","76.94","81.22","76.94","9.16K","6.04%"
"Dec 04, 2011","81.28","80.85","82.05","80.59","18.46K","-0.04%"
"Dec 11, 2011","81.76","81.73","81.88","81.18","3.08K","0.59%"
"Dec 18, 2011","84.06","81.70","84.07","80.77","4.09K","2.81%"
"Dec 25, 2011","84.59","83.96","84.74","83.96","0.89K","0.63%"
"Jan 01, 2012","87.47","85.00","87.45","85.00","61.03K","3.40%"
"Jan 08, 2012","88.21","87.06","88.76","87.06","15.37K","0.85%"
"Jan 15, 2012","88.23","88.68","88.88","87.72","17.34K","0.02%"
"Jan 22, 2012","87.04","87.77","88.16","87.40","4.24K","-1.35%"
"Jan 29, 2012","89.15","86.73","89.00","86.73","31.36K","2.42%"
"Feb 05, 2012","88.61","89.14","89.27","88.19","9.24K","-0.61%"
"Feb 12, 2012","90.01","88.83","90.21","88.75","11.09K","1.58%"
"Feb 19, 2012","88.51","90.03","90.03","88.39","2.81K","-1.67%"
"Feb 26, 2012","90.62","88.39","90.70","88.23","7.16K","2.38%"
"Mar 04, 2012","91.46","90.04","90.14","89.39","2.45K","0.93%"
"Mar 11, 2012","93.04","91.20","93.74","91.00","1.52K","1.73%"
"Mar 18, 2012","91.77","93.00","93.31","91.55","14.94K","-1.37%"
"Mar 25, 2012","92.14","92.51","92.96","91.79","14.19K","0.40%"
"Apr 01, 2012","93.53","92.03","93.27","92.03","3.87K","1.51%"
"Apr 08, 2012","91.83","92.45","92.45","91.04","9.38K","-1.82%"
"Apr 15, 2012","91.58","92.16","92.63","91.27","5.85K","-0.27%"
"Apr 22, 2012","92.39","90.79","92.46","90.70","3.46K","0.88%"
"Apr 29, 2012","91.59","92.62","93.48","92.08","7.95K","-0.87%"
"May 06, 2012","92.21","91.16","91.75","90.82","22.56K","0.68%"
"May 13, 2012","89.83","91.17","91.99","89.88","13.43K","-2.58%"
"May 20, 2012","92.43","89.09","92.40","89.09","19.19K","2.89%"
"May 27, 2012","90.88","92.31","93.19","90.82","3.02K","-1.68%"
"Jun 03, 2012","92.35","89.70","92.57","89.47","9.94K","1.62%"
"Jun 10, 2012","92.70","93.16","93.27","91.70","7.15K","0.38%"
"Jun 17, 2012","92.98","93.13","93.95","92.80","2.91K","0.30%"
"Jun 24, 2012","93.68","92.95","93.88","92.26","4.12K","0.75%"
"Jul 01, 2012","96.28","94.87","96.90","94.67","5.71K","2.78%"
"Jul 08, 2012","96.85","96.30","96.88","95.65","7.15K","0.59%"
"Jul 15, 2012","98.58","97.42","98.64","96.75","8.58K","1.79%"
"Jul 22, 2012","97.53","97.74","97.85","96.58","5.77K","-1.07%"
"Jul 29, 2012","98.75","98.93","99.35","97.81","24.24K","1.25%"
"Aug 05, 2012","99.98","98.95","100.19","98.74","6.20K","1.25%"
"Aug 12, 2012","101.09","100.37","101.16","99.49","3.43K","1.11%"
"Aug 19, 2012","98.63","101.11","101.11","98.25","2.86K","-2.43%"
"Aug 26, 2012","98.47","99.30","99.44","98.20","6.36K","-0.16%"
"Sep 02, 2012","98.68","98.39","99.67","98.02","6.63K","0.21%"
"Sep 09, 2012","98.28","98.72","98.86","97.72","2.69K","-0.41%"
"Sep 16, 2012","99.09","98.11","99.02","98.03","6.95K","0.82%"
"Sep 23, 2012","98.38","98.91","99.45","98.17","5.96K","-0.72%"
"Sep 30, 2012","98.99","98.65","99.26","98.49","11.72K","0.62%"
"Oct 07, 2012","97.24","98.97","99.27","97.39","3.98K","-1.77%"
"Oct 14, 2012","97.49","97.38","98.21","97.27","5.46K","0.26%"
"Oct 21, 2012","95.88","96.62","96.75","95.60","7.58K","-1.65%"
"Oct 28, 2012","97.82","95.66","97.89","95.64","29.07K","2.02%"
"Nov 04, 2012","96.01","97.22","98.36","95.46","14.46K","-1.85%"
"Nov 11, 2012","93.49","95.79","96.40","93.23","16.53K","-2.62%"
"Nov 18, 2012","95.58","94.52","95.84","94.52","3.22K","2.24%"
"Nov 25, 2012","95.94","95.40","96.55","95.38","4.57K","0.38%"
"Dec 02, 2012","96.51","96.16","97.28","94.74","9.01K","0.59%"
"Dec 09, 2012","95.27","96.72","97.42","95.69","3.12K","-1.28%"
"Dec 16, 2012","95.80","95.45","96.55","95.29","7.10K","0.56%"
"Dec 23, 2012","94.41","94.86","94.94","94.33","4.15K","-1.45%"
"Dec 30, 2012","99.21","95.42","99.33","95.42","9.38K","5.08%"
